@relation wicket

@attribute text string
@attribute isSurprise {0,1}

@data
'Component reAttach and versioning   \tI\'m reAttaching a component doing something like: MyFooPanel p1 = new MyFooPanel(this  \'panel\'; MyBarPanel p2 = new MyBarPanel(this  \'panel\'); p1.reAttach(); When I try to restore to the initial page version I found that the component with id \'panel\' is not a children component of the page. I have investigated it and I think it is because when the component is reAttached the order in which the changes are added to the ChangesList is:  Add p2. Remove p1.When the initial version is restored the undo functionality is done in reverse mode like   Add p1. Remove p2.The problem is p1 and p2 have the same id  so when p2 is removed what is removing is p1 that has just added. Oscar.   ',0
'Uncaught exception guesing urls using CryptedUrlWebRequestCodingStrategy   \tWhen used the CryptedUrlWebRequestCodingStrategy strategy in my wicket application I get an uncaught exception when trying to hack urls in the browser address bar.Configuration: @Override protected IRequestCycleProcessor newRequestCycleProcessor() { return new CompoundRequestCycleProcessor(new CryptedUrlWebRequestCodingStrategy( new WebRequestCodingStrategy())  null  null  null  null); } // newRequestCycleProcessor Exception:java.lang.ArrayIndexOutOfBoundsException: 81 at wicket.util.crypt.Base64UrlSafe.decodeBase64(Base64UrlSafe.java:367) at wicket.util.crypt.AbstractCrypt.decryptUrlSafe(AbstractCrypt.java:87) at wicket.protocol.http.request.CryptedUrlWebRequestCodingStrategy.decodeURL(CryptedUrlWebRequestCodingStrategy.java:256) at wicket.protocol.http.request.CryptedUrlWebRequestCodingStrategy.decode(CryptedUrlWebRequestCodingStrategy.java:91) at wicket.Request.getRequestParameters(Request.java:163) at wicket.RequestCycle.step(RequestCycle.java:992) at wicket.RequestCycle.steps(RequestCycle.java:1084) at wicket.RequestCycle.request(RequestCycle.java:454) at wicket.protocol.http.WicketServlet.doGet(WicketServlet.java:219) at javax.servlet.http.HttpServlet.service(HttpServlet.java:697) at javax.servlet.http.HttpServlet.service(HttpServlet.java:810) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:252) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at org.jboss.web.tomcat.filters.ReplyHeaderFilter.doFilter(ReplyHeaderFilter.java:96) at org.apache.catalina.core.ApplicationFilterChain.internalDoFilter(ApplicationFilterChain.java:202) at org.apache.catalina.core.ApplicationFilterChain.doFilter(ApplicationFilterChain.java:173) at org.apache.catalina.core.StandardWrapperValve.invoke(StandardWrapperValve.java:213) at org.apache.catalina.core.StandardContextValve.invoke(StandardContextValve.java:178) at org.jboss.web.tomcat.security.SecurityAssociationValve.invoke(SecurityAssociationValve.java:175) at org.jboss.web.tomcat.security.JaccContextValve.invoke(JaccContextValve.java:74) at org.apache.catalina.core.StandardHostValve.invoke(StandardHostValve.java:126) at org.apache.catalina.valves.ErrorReportValve.invoke(ErrorReportValve.java:105) at org.jboss.web.tomcat.tc5.jca.CachedConnectionValve.invoke(CachedConnectionValve.java:156) at org.apache.catalina.core.StandardEngineValve.invoke(StandardEngineValve.java:107) at org.apache.catalina.connector.CoyoteAdapter.service(CoyoteAdapter.java:148) at org.apache.coyote.http11.Http11Processor.process(Http11Processor.java:869) at org.apache.coyote.http11.Http11BaseProtocol$Http11ConnectionHandler.processConnection(Http11BaseProtocol.java:664) at org.apache.tomcat.util.net.PoolTcpEndpoint.processSocket(PoolTcpEndpoint.java:527) at org.apache.tomcat.util.net.MasterSlaveWorkerThread.run(MasterSlaveWorkerThread.java:112) at java.lang.Thread.run(Thread.java:595)I\'d except that this exception would be caught an a user is taken to a user friendly error page  possibly the default error page.   ',0
'creating a mountBookmarkablePage with PageMap   \tfrom wicket-user@lists.sourceforge.net:On 1/18/07  Igor Vaynberg &lt;igor.vaynberg@gmail.com&gt; wrote:lol  yesi think someone got a bit overzealous with typesafety. please create a jira issue for it and we will change PageMap pageMap to String pageMapName-igorOn 1/17/07  Kadir Sener GUMUS &lt;chaoticknight@gmail.com&gt; wrote:Hi i want to mount a bookmarkablePage with custom pagemap parameter in Application.init() but as a normal result i am experiencing with no session error. Because PageMap.forName(\'\') requires a session. so can i ask you what the method \'mountBookmarkablePage(String path  PageMap pageMap  Class bookmarkablePageClass)\' is for? where do i have to define that? i couldnt find any usage description for the method. Thanks.Kadir   ',0
'Removing comments from markup can fail   \tMarkup with comments in it sometimes causes Wicket to crash with a nasty StringIndexOutOfBoundsException.   ',0
'NPE in RequestLogger?   \tjava.lang.NullPointerException at java.util.LinkedList.writeObject(LinkedList.java:755) at sun.reflect.GeneratedMethodAccessor41.invoke(Unknown Source) at sun.reflect.DelegatingMethodAccessorImpl.invoke(DelegatingMethodAccessorImpl.java:25) at java.lang.reflect.Method.invoke(Method.java:585) at java.io.ObjectStreamClass.invokeWriteObject(ObjectStreamClass.java:917) at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:1339) at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.java:1290) at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1079) at java.io.ObjectOutputStream.defaultWriteFields(ObjectOutputStream.java:1375) at java.io.ObjectOutputStream.writeSerialData(ObjectOutputStream.java:1347) at java.io.ObjectOutputStream.writeOrdinaryObject(ObjectOutputStream.java:1290) at java.io.ObjectOutputStream.writeObject0(ObjectOutputStream.java:1079) at java.io.ObjectOutputStream.writeObject(ObjectOutputStream.java:302) at wicket.util.lang.Objects.sizeof(Objects.java:1058) at wicket.Session.getSizeInBytes(Session.java:627) at wicket.protocol.http.RequestLogger.requestTime(RequestLogger.java:215) at wicket.RequestCycle.detach(RequestCycle.java:882) at wicket.RequestCycle.steps(RequestCycle.java:1118) at wicket.RequestCycle.request(RequestCycle.java:454) at wicket.protocol.http.WicketFilter.doGet(WicketFilter.java:243) at wicket.protocol.http.WicketServlet.doGet(WicketServlet.java:136) at javax.servlet.http.HttpServlet.service(HttpServlet.java:689)   ',0
'WicketServlet deprecation and WicketFilter   \tHi I\'m one of the maintainer of ops4j-pax-wicket. Atm  I\'m trying tomigrate pax-wicket to wicket-2.0 that can be found at(https://scm.ops4j.org/repos/ops4j/branches/pax/wicket-2.0).One of the problem that I found during migration is the fact thatWicketFilter uses reflection to instantiate application factory byusing the FilterConfig.getInitParam( \'applicationFactoryClassName\' ).Since this is not advisable in OSGi (Due to problem of ensuringwhoever export the wicket bundle must have it\'s classloader be able toload the application factory) and HttpService does not support Filter.It would be better if the old pattern of WicketServlet is supported.&lt;code&gt;public class WicketServlet{ protected WicketFilter newWicketFilter() { return new WicketFilter(); } public void init() { wicketFilter = newWicketFilter(); filter.init(new FilterConfig() { ... }); }}&lt;/code&gt;This way  I would be able to override the instantiation ofWicketFilter without having to reimplement my FilterConfig.For example  my wicket servlet will look like like:&lt;code&gt;final class MyWicketServlet extends WicketServlet{ private final IWebApplicationFactory m_appFactory; MyWicketServlet( IWebApplicationFactory factory ) { m_appFactory = factory; } protected final WicketFilter newWicketFilter() { return new WicketFilter() { protected IWebApplicationFactory getApplicationFactory() { return MyWicketServlet.this.m_appFactory; } }; }}&lt;/code&gt;This way  reflection will not be used anymore in both instantiatingWebApplication (bypassing ContextParamWebApplicationFactory class) andIWebApplicationFactory.Regards Edward YakopNote:Can we please remove the log.info part to mark WicketServlet is deprecated.&lt;code&gt;public WicketServlet(){ // log warning log.info(\'********************************************\'); log.info(\'DEPRECATED! Please use WicketFilter instead.\'); log.info(\'********************************************\');}&lt;/code&gt;Reply from Johan Compagner (jcompagner@gmail.com)We will remove the warnings about the deprication when we will release 1.3/2.0for now we want to point people as much as possible to the wicket filter.The wicket servlet will still be there.So you just want a factory method in wicket servlet where you can make the wicket filter?can you add a RFE for this:https://issues.apache.org/jira/secure/IssueNavigator.jspa?reset=true&amp;mode=hide&amp;pid=12310561&amp;sorter/order=DESC&amp;sorter/field=priority&amp;resolution=-1&amp;component=12311420then i will add the factory method asap.johan   ',0
'Allow to set field values before submitting a form with Ajax in WicketTester   \tI have code to validate {{TextField}}s one by one with ajax. While the code works  I wasn\'t able to assert it working with WicketTester.The attached quickstart can be used to reproduce the problem on a 2.0 snapshot. The code works in a browser (validity gets toggled true / false when changing the input length)  but WicketTester fails. With WicketTester  the ajax event gets triggered (and it calls validate on the field)  but isValid always returns true.   ',0
'pallete: \' is missing in HTML   \tIndex: Palette.html===================================================================&#8212; Palette.html (revision 503672)+++ Palette.html (working copy)@@ -37 7 +37 7 @@ &lt;td class=\'buttons\'&gt; &lt;button type=\'button\' wicket:id=\'addButton\' class=\'button add\'&gt;&lt;img wicket:id=\'image\' src=\'add.gif\'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;button type=\'button\' wicket:id=\'removeButton\' class=\'button remove\'&gt;&lt;img wicket:id=\'image\' src=\'remove.gif\'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;button type=\'button\' wicket:id=\'moveUpButton\' class button up\'&gt;&lt;img wicket:id=\'image\' src=\'up.gif\'/&gt;&lt;/button&gt;&lt;br/&gt;+ &lt;button type=\'button\' wicket:id=\'moveUpButton\' class=\'button up\'&gt;&lt;img wicket:id=\'image\' src=\'up.gif\'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;button type=\'button\' wicket:id=\'moveDownButton\' class=\'button down\'&gt;&lt;img wicket:id=\'image\' src=\'down.gif\'/&gt;&lt;/button&gt;&lt;br/&gt; &lt;/td&gt; &lt;td class=\'pane selection\'&gt;   ',0
'Calls to enabled and visibleInHierarchy should not be done in component resolving.   \tCurrently  the check(s) on whether a component may receive a call is done too early  namely during resolving the request target. This is a problem when components depend on things being initialized in the page or component using detachement. There is also some code duplication. The proper place for this check is in RequestListenerInterface#invoke.   ',1
'EmailAddressPatternValidator does not correctly identify TLDs with more than 3 letters   \tThe following is already fixed in wicket-1.2  but doesn\'t seem to have made it into 2.0 yet. The following looks like a valid regex for this:^&#91;_A-Za-z0-9-&#93;(//.&#91;_A-Za-z0-9-&#93;)@&#91;A-Za-z0-9-&#93;(//.&#91;A-Za-z0-9-&#93;)((.&#91;A-Za-z&#93;{2 }){1}$)   ',0
'PackageRequestTargetUrlCodingStrategy should interrupts the cycle and sends a 404 when a page/class cannot be found.   \tUsing PackageRequestTargetUrlCodingStrategy and manually hacking the url in the browser will throw up a RuntimeException if it cannot load a corresponding page class. Same could happen if the bookmarkable page does not exist anymore  etc... see stacktrace below.The expected behavior is to interrupt the cycle and sends a 404.wicket.WicketRuntimeException: Unable to load class with name: com.mycompany.wicket.pages.xyzw at wicket.application.DefaultClassResolver.resolveClass(DefaultClassResolver.java:70) at wicket.request.target.coding.PackageRequestTargetUrlCodingStrategy.decode(PackageRequestTargetUrlCodingStrategy.java:80) at wicket.protocol.http.request.WebRequestCodingStrategy.targetForRequest(WebRequestCodingStrategy.java:363) at wicket.protocol.http.request.CryptedUrlWebRequestCodingStrategy.targetForRequest(CryptedUrlWebRequestCodingStrategy.java:154) at wicket.request.compound.DefaultRequestTargetResolverStrategy.resolve(DefaultRequestTargetResolverStrategy.java:84) at wicket.request.compound.AbstractCompoundRequestCycleProcessor.resolve(AbstractCompoundRequestCycleProcessor.java:47) at wicket.RequestCycle.step(RequestCycle.java:1008) at wicket.RequestCycle.steps(RequestCycle.java:1100) at wicket.RequestCycle.request(RequestCycle.java:454) at wicket.protocol.http.WicketFilter.doGet(WicketFilter.java:243) at wicket.protocol.http.WicketFilter.doFilter(WicketFilter.java:122)   ',0
'AjaxEditableLabel on setModel does not update the labels model only the editors   \tThe AjaxEditableLabel when you perform a setModel() it will go ahead and update the underlying model of the editor however  it does not update the underlying model of the Label   ',1
'CheckBox incorrectly converts its model value when a custom Boolean converter is installed   \tWhen I use a custom localized Boolean converter (using my custom IConverterLocator) that converts \'Ano\' to true and \'Ne\' to false (Czech words for \'yes\' and \'no\') the CheckBox with \'true\' getModelObject() will render unchecked. The problem is that CheckBox uses Strings.isTrue() to convert a value returned by getModelObjectAsString() which uses converters. The result is that true is incorrectly converted to false...true -&gt; convertToString() -&gt; \'Ano\' -&gt; Strings.isTrue() -&gt; false   ',1
'Inheritable model cannot be a wrap model   \tIn the code of Component:initModel()  when it comes accross an IWrapModel  it always gets its nested model  not considering if this model itself might be an IInheritableModel. for (Component current = getParent(); current != null; current = current.getParent()) { // Get model IModel model = current.getModel(); if (model instanceof IWrapModel) { model = ((IWrapModel)model).getNestedModel(); } if (model instanceof IInheritableModel) { .... } }Would it be correct do make the following correction ? if (model instanceof IWrapModel &amp;&amp; !(model instanceof IInheritableModel)) { model = ((IWrapModel)model).getNestedModel(); }   ',1
'BookmarkablePageLink only sets the target attribute when it exists in the markup   \tBookmarkablePageLink adds an attribute modifier to itself when setPageMap is called. However  it creates the attribute modifier in such a fashion that it is only applied when the target attribute is already in the markup. The initial goal to implement it like that was to make the change unobtrusive. I\'m backtracking on that now though  as I now think it is actually half baked. I\'d like to change the behavior so that it /always/ sets the target when you call setPageMap on it. This would mean that you\'ll popup another window if you try to link to a different page map in the same screen  but you shouldn\'t do that anyway.See http://www.nabble.com/Re\%3A-Extending-wicket.markup.html.tree.Tree-p9273422.html for a problem this would fix.   ',1
'Some components miss localization (NavigatorLabel  Palette)   \twicket.extensions.markup.html.repeater.data.table.NavigatorLabel should be localized. Now there\'s hard coded string Showing xxx to yyy of zzzwicket.extensions.markup.html.form.palette.Palette - method newAvailableHeader and newSelectedHeader. It think it should be better to use localized model instead of hardcoded strings \'Available\' and \'Selected\'   ',0
'Converter misusage/mangling in RadioChoice   \t1.x RadioChoice:433 is doing conversion. I don\'t think it should be.I think the default ChoiceRenderer should be doing the conversion  and that if you supply your own  no conversion should be done.   ',0
'Wicket.Focus code utterly breaks AjaxEditableLabel   \tThe Wicket.Focus javascript is nice and clever  but isn\'t clever enough - we\'ve overlooked the use case where people want to set the focus in their AJAX callback to another component.This is particularly bad for the AjaxEditableLabel case  because onblur() on the text field that it pops up causes it to submit the value back to the server and finish the editing process and go away. So the text field pops up  and then wicket moves the focus somewhere else  so it goes away again immediately. Maybe a good stab at fixing 90\% of the problem would be to see if the JS in the response has the word \'focus\' in it  and not do the focusing if it does?Looking at the user list  I think Johan is the Wicket.Focus man  so I\'m assigning this to him. Johan - if this isn\'t really your domain  obviously feel free to unassign and accept my apologies.   ',0
'DropDownChoice  empty Model wrong default encoding of special chars   \tIv the DDChoice is empty at first  you get a \'Bitte Ausw??hlen\' wich is wrongly decoded as \'Bitte Ausw?\%len\' - so the encoding needs to be checked that it gets correctly encoded according to HTML like &auml;   ',0
'Using Borders with Markup Inheritance causes component resolution failures   \tIf a Border is used by the BasePage in a markup inheritance implementation  Wicket is unable to resolve any of the components in the child page.I will attach a simple testcase for this.   ',0
'Ajax requests don\'t detach component models   \tAfter ajax request the component models are not detached. Page onDetach should detach those models  but since the page itself is not attached  the onDetach method is not called.It\'s necessary to always call page.detachModels after request. And we should only call page.detach from the request target. The ajax request target should not page.detach  as the behaviorrequesttarget should do that.   ',0
'NullPointerException in MarkupFragmentFinder.find()   \tIf ID of any component in MarkupStream is null (for example in ends with tags)  the method MarkupFragmentFinder.find() may crash. See patch...   ',0
'mvn jetty:run; maven-jetty-plugin not configured   \tmaven-jetty-plugin not configured for wicket-quickstart.   ',0
'Add global override to disable gzip compression (SAP double-compresses).   \tIt should be possible to deactivate gzip compression. Sometimes gzip is already handled by a proxy server or gzip raises problems (like I experienced on SAP J2EE Enterprise Server).Default should be \'on\'.It\'s always good to have an option.   ',0
'Feedback is not cleaned up upon AJAX-requests   \tWhen doing validation with AjaxFormComponentUpdatingBehavior once an error message is attached to a component it gets sticky and is not refreshed upon new ajax requests. It seems as if feedback is not cleaned up so onEvent always takes the hasError branch  independently of validation results.   ',0
'JavaScript comment stripping doesn\'t handle regexps   \tThe following line is crippled when using javascript comment stripping(from jquery.js) // Handle the common XPath // expression if ( !t.indexOf(\'//\') ) {it will be result in if ( !t.indexOf(\'the // inside the string quotes are taken as a comment instead of as a string...   ',1
'ModalWindow does not function under Opera   \tInitial ModalWindow appears  but with the title: \'Blank Page\'. The window remains unpopulated.   ',1
'Use WebRequestEncoder everywhere a query string is constructed   \t   ',1
'LocalizedImageResource escapes ampersands twice (regression)   \turlFor returns escaped ampersands (apparently  a change) so LocalizedImageResource should not do it a second time.   ',1
'tests should be test   \tIn pom.xml for extension  the following is a typo: &lt;dependency&gt; &lt;groupId&gt;org.apache.wicket&lt;/groupId&gt; &lt;artifactId&gt;wicket&lt;/artifactId&gt; &lt;classifier&gt;tests&lt;/classifier&gt; &lt;scope&gt;tests&lt;/scope&gt;&lt;------------ should be &lt;scope&gt;test&lt;/scope&gt; &lt;/dependency&gt;Now when using mvn eclipse:eclipse and mvn war I get an extra unnecessary test jar   ',0
'WicketTester does not bind created Session to SessionStore   \tThe WicketTester constructor  via a call to MockWebApplication.createRequestCycle()  creates a new session but fails to bind it: this.wicketSession = (WebSession) Session.findOrCreate();This means that the session subsequently gets over-written by a new one created in a later call to WicketTester.startPage(). This causes problems for any unit tests which want to set up session data after instantiating a WicketTester  but before calling WicketTester.startPage().The MockWebApplication.createRequestCycle() should probably bind the session immediately after creating it: this.wicketSession = (WebSession) Session.findOrCreate(); getApplication().getSessionStore().bind(getWicketRequest()  wicketSession);Then subsequent calls to startPage() will use this session rather than create a new one.   ',1
'TimeOfDay.next(Calendar) can return time on same day rather than next day   \tCurrently code does: calendar.add(Calendar.DATE  1); return Time.valueOf(calendar  this);Because Time.valueOf(Calendar  TimeOfDay) always returns the time on the same day  the add is ignored. Instead this code should be the time of day today plus one day like this: return Time.valueOf(calendar  this).add(Duration.ONE_DAY);   ',0
'AbstractTextComponent#setConvertEmptyInputStringToNull(true) does not work with IObjectClassAwareModels (affects TextField  etc.)   \tThe unit tests ought to cover this  but apparently don\'t. A TextField should convert empty strings to nulls if you call setConvertEmptyInputStringToNull(true) on it (which the constructors do by default).However  this doesn\'t currently work: AbstractTextComponent#getConvertEmptyInputStringToNull() is only called from AbstractTextComponent#convertValue(String[]). AbstractTextComponent#convertValue(String[]) is called from FormComponent#convert()  but only if the component doesn\'t have a type assigned to it. As soon as you use a PropertyModel (which implements IObjectClassAwareModel)  this means empty strings are no longer converted to nulls.This is obviously a great big blocker and needs fixing ASAP.   ',0
'HeaderContributor forces relative URL   \tI consider this a bug  and was wondering if you do as well... If so  I will open a JIRA and attach a patch for it. Just let me know.In my 1.2.6 app  I have the following line:add(HeaderContributor.forCss(\'/resources/styles/global.css\'));which generates this in the markup (correctly):&lt;link rel =\'stylesheet\' type=\'text/css\' href=\'/resources/css/global.css\' &gt;&lt;/link&gt;In 1.3  it generates this in the markup (incorrectly):&lt;link rel =\'stylesheet\' type=\'text/css\' href=\'../../..//resources/styles/global.css\' &gt;&lt;/link&gt;This is because of the change to have everything with relative URLs  I am assuming. But  I don\'t want a relative URL  I want an absolute one. I\'m thinking that the following change would be appropriate:HeaderContributor.java (26)if (location.startsWith(\'http://\') || location.startsWith(\'https://\'))changed to:if (location.startsWith(\'http://\') || location.startsWith(\'https://\') || location.startsWith(\'/\'))   ',0
'Prototype scoped Spring beans   \tI copied the following text from my discussion on wicket-user  and was asked to open an issue  so here it is:http://www.nabble.com/Prototype-scoped-Spring-beans-tf3849285.htmlFor a more complex form I wanted to use a \'stateful\' Springbean  to which I applied scope=\'prototype\'. The idea is to have one bean instance for every Form instance. I would access the bean with PropertyModels and direct method calls during construction (i.e. setting initial state from input parameters) and during events  which would alter the state. I inject the bean into the Form with @SpringBean annotation.This works somehow  but sometimes  especially after using the backbutton  I had the problem that the internal state was reset. So I analyzed the stack in the constructor of the bean implementation  and found out that it was called twice during construction of the Form. First  during the super() call  and then again in the next line during a method call on that bean. I appended both stacktraces below. The proxy itself does not change.This happens again after going back and e.g. submitting again. This results in a NPE  because the internal state is reset.I understand from reading the mailing list that the Wicket-Proxy does nothing but a lookup in the Application context  and does not know or care about spring scope.And here I\'m a little stuck. I am already considering to put the state into the Form  and make the Bean a singleton without any internal state. As that would mean some heavy refactoring  I would prefer a way where the Spring acces would work as I want. Or is this a wrong way altogether?   ',0
'WicketFilter tries to call setClassLoader() even if it\'s not changing the default - doesn\'t work on strict SecurityManagers.   \tAs summary. Solution is to avoid setting the classloader if it\'s not actually changed.   ',0
'Resource.getParameters() empty when resource is mounted   \tAfter migrating my application from 1.2.6 to 1.3.0-incubating-SNAPSHOT mounted shared resources (rss feeds  uploaded images) stopped working.DynamicWebResource.getParameters().getXXX() returns with null if the resource is mounted via Application.mountSharedResource but it works fine when the resource is not mounted.   ',0
'[PATCH] remove XX in firefox and palette   \tI know it is a firefox bug but we can workaround (at least into palette) this with the attach patch   ',0
